Bank Name,City,State,CERT #,Closing Date,Updated Date
Community First Bank,Prineville,OR,23268,7-Aug-09,23-Nov-09
Community National Bank of Sarasota County,Venice,FL,27183,7-Aug-09,23-Nov-09
First State Bank,Sarasota,FL,27364,7-Aug-09,23-Nov-09
Mutual Bank,Harvey,IL,18659,31-Jul-09,23-Nov-09
First BankAmericano,Elizabeth,NJ,34270,31-Jul-09,23-Nov-09
Peoples Community Bank,West Chester,OH,32288,31-Jul-09,23-Nov-09
Integrity Bank,Jupiter,FL,57604,31-Jul-09,23-Nov-09
First State Bank of Altus,Altus,OK,9873,31-Jul-09,23-Nov-09
Security Bank of Jones County,Gray,GA,8486,24-Jul-09,23-Nov-09
Security Bank of Houston County,Perry,GA,27048,24-Jul-09,23-Nov-09
Security Bank of Bibb County,Macon,GA,27367,24-Jul-09,23-Nov-09
Security Bank of North Metro,Woodstock,GA,57105,24-Jul-09,23-Nov-09
Security Bank of North Fulton,Alpharetta,GA,57430,24-Jul-09,23-Nov-09
Security Bank of Gwinnett County,Suwanee,GA,57346,24-Jul-09,23-Nov-09
Waterford Village Bank,Williamsville,NY,58065,24-Jul-09,23-Mar-10
Temecula Valley Bank,Temecula,CA,34341,17-Jul-09,23-Mar-10
Vineyard Bank,Rancho Cucamonga,CA,23556,17-Jul-09,23-Mar-10
BankFirst,Sioux Falls,SD,34103,17-Jul-09,23-Nov-09
First Piedmont Bank,Winder,GA,34594,17-Jul-09,23-Nov-09
Bank of Wyoming,Thermopolis,WY,22754,10-Jul-09,23-Nov-09
Founders Bank,Worth,IL,18390,2-Jul-09,23-Nov-09
Millennium State Bank of Texas,Dallas,TX,57667,2-Jul-09,23-Nov-09
First National Bank of Danville,Danville,IL,3644,2-Jul-09,23-Mar-10
Elizabeth State Bank,Elizabeth,IL,9262,2-Jul-09,23-Nov-09
Rock River Bank,Oregon,IL,15302,2-Jul-09,23-Nov-09
First State Bank of Winchester,Winchester,IL,11710,2-Jul-09,23-Mar-10
John Warner Bank,Clinton,IL,12093,2-Jul-09,23-Mar-10
Mirae Bank,Los Angeles,CA,57332,26-Jun-09,23-Nov-09
MetroPacific Bank,Irvine,CA,57893,26-Jun-09,23-Mar-10
Horizon Bank,Pine City,MN,9744,26-Jun-09,23-Mar-10
Neighborhood Community Bank,Newnan,GA,35285,26-Jun-09,23-Mar-10
Community Bank of West Georgia,Villa Rica,GA,57436,26-Jun-09,23-Nov-09
First National Bank of Anthony,Anthony,KS,4614,19-Jun-09,23-Nov-09
Cooperative Bank,Wilmington,NC,27837,19-Jun-09,23-Nov-09
Southern Community Bank,Fayetteville,GA,35251,19-Jun-09,11-Mar-10
Bank of Lincolnwood,Lincolnwood,IL,17309,5-Jun-09,11-Mar-10
Citizens National Bank,Macomb,IL,5757,22-May-09,23-Nov-09
Strategic Capital Bank,Champaign,IL,35175,22-May-09,9-Mar-10
"BankUnited, FSB",Coral Gables,FL,32247,21-May-09,23-Nov-09
Westsound Bank,Bremerton,WA,34843,8-May-09,23-Nov-09
America West Bank,Layton,UT,35461,1-May-09,23-Nov-09
Citizens Community Bank,Ridgewood,NJ,57563,1-May-09,23-Nov-09
"Silverton Bank, NA",Atlanta,GA,26535,1-May-09,23-Nov-09
First Bank of Idaho,Ketchum,ID,34396,24-Apr-09,23-Nov-09
First Bank of Beverly Hills,Calabasas,CA,32069,24-Apr-09,23-Nov-09
Michigan Heritage Bank,Farmington Hills,MI,34369,24-Apr-09,23-Nov-09
American Southern Bank,Kennesaw,GA,57943,24-Apr-09,23-Nov-09
Great Basin Bank of Nevada,Elko,NV,33824,17-Apr-09,23-Nov-09
American Sterling Bank,Sugar Creek,MO,8266,17-Apr-09,23-Nov-09
New Frontier Bank,Greeley,CO,34881,10-Apr-09,23-Dec-09
Cape Fear Bank,Wilmington,NC,34639,10-Apr-09,23-Nov-09
Omni National Bank,Atlanta,GA,22238,27-Mar-09,23-Nov-09
"TeamBank, NA",Paola,KS,4754,20-Mar-09,23-Nov-09
Colorado National Bank,Colorado Springs,CO,18896,20-Mar-09,23-Nov-09
FirstCity Bank,Stockbridge,GA,18243,20-Mar-09,23-Nov-09
Freedom Bank of Georgia,Commerce,GA,57558,6-Mar-09,23-Nov-09
Security Savings Bank,Henderson,NV,34820,27-Feb-09,23-Nov-09
Heritage Community Bank,Glenwood,IL,20078,27-Feb-09,23-Nov-09
Silver Falls Bank,Silverton,OR,35399,20-Feb-09,23-Nov-09
Pinnacle Bank of Oregon,Beaverton,OR,57342,13-Feb-09,23-Nov-09
Corn Belt Bank & Trust Co.,Pittsfield,IL,16500,13-Feb-09,23-Mar-10
Riverside Bank of the Gulf Coast,Cape Coral,FL,34563,13-Feb-09,23-Mar-10
Sherman County Bank,Loup City,NE,5431,13-Feb-09,23-Nov-09
County Bank,Merced,CA,22574,6-Feb-09,23-Nov-09
Alliance Bank,Culver City,CA,23124,6-Feb-09,23-Nov-09
FirstBank Financial Services,McDonough,GA,57017,6-Feb-09,23-Mar-10
Ocala National Bank,Ocala,FL,26538,30-Jan-09,23-Nov-09
Suburban FSB,Crofton,MD,30763,30-Jan-09,23-Mar-10
MagnetBank,Salt Lake City,UT,58001,30-Jan-09,23-Nov-09
1st Centennial Bank,Redlands,CA,33025,23-Jan-09,23-Nov-09
Bank of Clark County,Vancouver,WA,34959,16-Jan-09,23-Nov-09
National Bank of Commerce,Berkeley,IL,19733,16-Jan-09,23-Nov-09
Sanderson State Bank,Sanderson,TX,11568,12-Dec-08,23-Nov-09
Haven Trust Bank,Duluth,GA,35379,12-Dec-08,23-Nov-09
First Georgia Community Bank,Jackson,GA,34301,5-Dec-08,23-Nov-09
PFF Bank & Trust ,Pomona,CA,28344,21-Nov-08,23-Nov-09
Downey Savings & Loan,Newport Beach,CA,30968,21-Nov-08,23-Nov-09
Community Bank,Loganville,GA,16490,21-Nov-08,23-Nov-09
Security Pacific Bank,Los Angeles,CA,23595,7-Nov-08,23-Nov-09
"Franklin Bank, SSB",Houston,TX,26870,7-Nov-08,23-Nov-09
Freedom Bank,Bradenton,FL,57930,31-Oct-08,23-Nov-09
Alpha Bank & Trust,Alpharetta,GA,58241,24-Oct-08,23-Nov-09
Meridian Bank,Eldred,IL,13789,10-Oct-08,23-Nov-09
Main Street Bank,Northville,MI,57654,10-Oct-08,23-Nov-09
Washington Mutual Bank,Henderson,NV,32633,25-Sep-08,23-Nov-09
Ameribank,Northfork,WV,6782,19-Sep-08,23-Nov-09
Silver State Bank,Henderson,NV,34194,5-Sep-08,23-Nov-09
Integrity Bank,Alpharetta,GA,35469,29-Aug-08,23-Nov-09
Columbian Bank & Trust,Topeka,KS,22728,22-Aug-08,23-Nov-09
First Priority Bank,Bradenton,FL,57523,1-Aug-08,23-Nov-09
"First Heritage Bank, NA",Newport Beach,CA,57961,25-Jul-08,23-Nov-09
First National Bank of Nevada,Reno,NV,27011,25-Jul-08,23-Nov-09
IndyMac Bank,Pasadena,CA,29730,11-Jul-08,1-Feb-10
"First Integrity Bank, NA",Staples,MN,12736,30-May-08,23-Nov-09
"ANB Financial, NA",Bentonville,AR,33901,9-May-08,23-Nov-09
Hume Bank,Hume,MO,1971,7-Mar-08,23-Nov-09
Douglass National Bank,Kansas City,MO,24660,25-Jan-08,23-Nov-09
Miami Valley Bank,Lakeview,OH,16848,4-Oct-07,23-Nov-09
NetBank,Alpharetta,GA,32575,28-Sep-07,23-Nov-09
Metropolitan Savings Bank,Pittsburgh,PA,35353,2-Feb-07,23-Nov-09
Bank of Ephraim,Ephraim,UT,1249,25-Jun-04,9-Apr-08
Reliance Bank,White Plains,NY,26778,19-Mar-04,9-Apr-08
Guaranty National Bank,Tallahassee,FL,26838,12-Mar-04,23-Nov-09
Dollar Savings Bank,Newark,NJ,31330,14-Feb-04,9-Apr-08
Pulaski Savings Bank,Philadelphia,PA,27203,14-Nov-03,22-Jul-05
First National Bank of Blanchardville,Blanchardville,WI,11639,9-May-03,6-Aug-09
Southern Pacific Bank,Torrance,CA,27094,7-Feb-03,20-Oct-08
Farmers Bank of Cheneyville,Cheneyville,LA,16445,17-Dec-02,20-Oct-04
Bank of Alamo,Alamo,TN,9961,8-Nov-02,18-Mar-05
AmTrade International Bank,Atlanta,GA,33784,30-Sep-02,11-Sep-06
Universal Federal Savings Bank,Chicago,IL,29355,27-Jun-02,9-Apr-08
Connecticut Bank of Commerce,Stamford,CT,19183,26-Jun-02,23-Nov-09
New Century Bank,Shelby Township,MI,34979,28-Mar-02,18-Mar-05
Net 1st National Bank,Boca Raton,FL,26652,1-Mar-02,9-Apr-08
"NextBank, NA",Phoenix,AZ,22314,7-Feb-02,23-Nov-09
Oakwood Deposit Bank Co.,Oakwood,OH,8966,1-Feb-02,23-Nov-09
Bank of Sierra Blanca,Sierra Blanca,TX,22002,18-Jan-02,6-Nov-03
"Hamilton Bank, NA",Miami,FL,24382,11-Jan-02,23-Nov-09
Sinclair National Bank,Gravette,AR,34248,7-Sep-01,10-Feb-04
"Superior Bank, FSB",Hinsdale,IL,32646,27-Jul-01,23-Nov-09
Malta National Bank,Malta,OH,6629,3-May-01,18-Nov-02
First Alliance Bank & Trust Co.,Manchester,NH,34264,2-Feb-01,18-Feb-03
National State Bank of Metropolis,Metropolis,IL,3815,14-Dec-00,17-Mar-05
Bank of Honolulu,Honolulu,HI,21029,13-Oct-00,17-Mar-05
